conf,adx,di_diff_min,side,n_trades,win_rate,profit_factor,avg_r,total_pnl,n_long,n_short
0.9,35,5.0,both,195,0.6358974358974359,1.2387404440669756,0.09105031041816602,3414.2500824495028,168,27
0.85,30,15.0,short,126,0.6349206349206349,1.233301285302544,0.08941871002778493,2071.837935334824,0,126
0.8,30,15.0,long,217,0.576036866359447,1.2236993944006853,0.08516006483352821,3955.359830532948,217,0
0.8,30,15.0,both,432,0.5972222222222222,1.1975429182719306,0.06914088154263906,6522.38489410877,212,220
0.8,25,15.0,both,579,0.5906735751295337,1.1934907514006754,0.07027728978165373,8368.409299352039,269,310
0.85,30,0.0,short,249,0.5983935742971888,1.1745947707512736,0.06903773245399014,3204.936090768611,0,249
0.85,30,5.0,short,215,0.6046511627906976,1.171605104833614,0.06558726310461103,2608.8528240436904,0,215
0.8,35,0.0,short,226,0.6106194690265486,1.159909046743292,0.06489715187375171,2734.606708127574,0,226
0.85,35,5.0,both,391,0.6010230179028133,1.1587093741262189,0.061037396333363886,4641.375680815043,281,110
0.9,25,15.0,long,47,0.574468085106383,1.1467212302527068,0.056477603963657655,552.4194348032418,47,0
0.85,30,10.0,short,180,0.6055555555555555,1.1265223889039186,0.050548813842795116,1616.786495824303,0,180
0.85,25,15.0,short,192,0.59375,1.1213021481717926,0.054171167427649214,1762.0538179011985,0,192
0.8,30,15.0,short,222,0.6126126126126126,1.103233447478311,0.045635169841615635,1679.884246747645,0,222
0.85,35,0.0,both,537,0.5772811918063314,1.0687975219719437,0.027994960583863308,2962.203156491699,413,124
0.9,35,10.0,both,119,0.6134453781512605,1.0635200262344486,0.027186086991771996,563.9412182384349,94,25
0.85,30,10.0,both,444,0.5765765765765766,1.0606002286854452,0.01782250503712984,1987.0605746903611,266,178
0.8,25,15.0,short,312,0.5865384615384616,1.0602731346826215,0.03310517330241897,1404.369703810914,0,312
0.8,30,0.0,short,412,0.5849514563106796,1.0580478190263594,0.01543810135283831,1789.6363608615566,0,412
0.8,30,5.0,short,359,0.5877437325905293,1.0526903633021671,0.01758237565632619,1397.6337948797232,0,359
0.9,35,5.0,long,168,0.6011904761904762,1.0451984437905821,0.022978671518212812,597.6317513117427,168,0
0.9,35,0.0,both,292,0.5821917808219178,1.0408016427388758,0.016471723768833435,970.6546951952191,260,32
0.9,30,15.0,both,88,0.6136363636363636,1.038771827700444,0.018435357652344678,266.6182280530669,43,45
0.9,30,0.0,short,95,0.5684210526315789,1.0288066250833585,0.012272882404644308,223.8242690689678,0,95
0.85,35,10.0,long,180,0.5777777777777777,1.0280984370088833,0.012462474185133864,394.3305819101897,180,0
0.85,25,10.0,long,358,0.5642458100558659,1.0207767379759105,0.00896924729172375,588.0990733590177,358,0
0.8,30,10.0,short,316,0.5854430379746836,1.0202059383081317,0.009409134933025195,478.54624475189485,0,316
0.9,25,15.0,both,125,0.576,1.0160689270523977,0.009901088228216568,160.21127891730038,47,78
0.85,30,10.0,long,269,0.5576208178438662,1.002235110433631,-0.0004119004097598782,47.74205391200894,269,0
0.8,35,10.0,both,445,0.5842696629213483,1.002016707893162,-6.898934951186659e-05,67.17407407517567,272,173
0.8,35,5.0,both,575,0.5808695652173913,1.001130613474205,0.002996883827595473,48.635775209256735,388,187
0.85,25,10.0,both,651,0.5714285714285714,0.9997338562387975,-0.005001805138008915,-12.59380029454951,355,296
0.9,25,10.0,short,114,0.5789473684210527,0.9908129128192441,-0.012196000583767078,-79.76050329568437,0,114
0.85,35,5.0,long,284,0.5669014084507042,0.9874926221482244,-0.007294148887150633,-279.15381792229493,284,0
0.8,30,10.0,both,690,0.5594202898550724,0.9804069189294156,-0.02257829015687051,-1022.6958030606911,382,308
0.9,30,5.0,short,81,0.5679012345679012,0.9748544244574019,-0.006440875442680122,-165.1437401815134,0,81
0.85,30,5.0,both,646,0.5495356037151703,0.9724975185394389,-0.014640991995171196,-1350.7312207168661,437,209
0.9,30,0.0,both,497,0.5513078470824949,0.9703687075362704,-0.0090669786634744,-1232.9530734651394,403,94
0.85,25,10.0,short,299,0.5819397993311036,0.9651910797618458,-0.01349204381057638,-772.0272704394076,0,299
0.85,30,0.0,both,866,0.5473441108545035,0.9635302213327218,-0.007737034264030879,-2400.386651218256,626,240
0.9,25,15.0,short,78,0.5769230769230769,0.9619695283575425,-0.018164248176472317,-237.72365642927033,0,78
0.8,25,10.0,both,988,0.5607287449392713,0.9618639480247649,-0.022259542185244657,-2716.6090879992043,524,464
0.9,30,0.0,long,403,0.5459057071960298,0.9503470483275118,-0.016700110757830046,-1703.0115430635797,403,0
0.9,25,0.0,short,166,0.5542168674698795,0.9493144465838574,-0.01981883037458446,-695.8251820351745,0,166
0.9,30,10.0,short,69,0.5652173913043478,0.9344271276706139,-0.020539829509493835,-367.63809637032085,0,69
0.8,25,10.0,short,481,0.5634095634095634,0.9291805903373801,-0.02377710237117468,-2503.037637200362,0,481
0.85,25,5.0,short,385,0.5662337662337662,0.927390929089635,-0.021536091219267764,-2108.180399598919,0,385
0.85,25,0.0,short,449,0.5545657015590201,0.9215319674131116,-0.024339856853879814,-2657.7253071255727,0,449
0.8,30,5.0,both,922,0.544468546637744,0.9199874666275716,-0.047091383752674305,-5456.473905949859,579,343
0.85,25,5.0,long,601,0.5424292845257903,0.9167339578014984,-0.03256323959048169,-3954.8083713816177,601,0
0.85,35,0.0,long,419,0.548926014319809,0.9150525785946807,-0.03779174108226624,-2908.079386767434,419,0
0.8,25,10.0,long,542,0.5461254612546126,0.9129876700432471,-0.03847820254959553,-3827.02718583153,542,0
0.85,25,5.0,both,961,0.5515088449531738,0.9127818207319078,-0.029358251937288193,-5986.254816704031,589,372
0.9,25,5.0,short,139,0.5611510791366906,0.9101608108446507,-0.03594151240253501,-1018.381335720737,0,139
0.9,35,0.0,long,260,0.5538461538461539,0.9098690546263967,-0.04140057620614485,-1968.6407340537453,260,0
